Country Code,Country ID
ABW,0
AGO,1
ALB,2
ARG,3
ARM,4
ASM,5
AUS,6
AUT,7
AZE,8
BDI,9
BEL,10
BEN,11
BGD,12
BGR,13
BHS,14
BIH,15
BLR,16
BLZ,17
BMU,18
BOL,19
BRA,20
BRB,21
BRN,22
BTN,23
BWA,24
CAF,25
CAN,26
CHE,27
CHL,28
CHN,29
CIV,30
CMR,31
COD,32
COG,33
COL,34
COM,35
CPV,36
CRI,37
CYP,38
CZE,39
DEU,40
DNK,41
DOM,42
DZA,43
ECU,44
EGY,45
ESP,46
EST,47
ETH,48
FIN,49
FJI,50
FRA,51
FSM,52
GAB,53
GBR,54
GEO,55
GHA,56
GIN,57
GMB,58
GNQ,59
GRC,60
GTM,61
GUM,62
HKG,63
HND,64
HRV,65
HTI,66
HUN,67
IDN,68
IND,69
IRL,70
IRN,71
IRQ,72
ISL,73
ISR,74
ITA,75
JAM,76
JOR,77
JPN,78
KAZ,79
KEN,80
KGZ,81
KHM,82
KIR,83
KOR,84
LBN,85
LSO,86
LTU,87
LUX,88
LVA,89
MAC,90
MAR,91
MDA,92
MDG,93
MEX,94
MHL,95
MKD,96
MLI,97
MLT,98
MMR,99
MNE,100
MNG,101
MOZ,102
MRT,103
MUS,104
MYS,105
NAM,106
NER,107
NGA,108
NIC,109
NLD,110
NOR,111
NPL,112
NRU,113
NZL,114
OMN,115
PAK,116
PAN,117
PER,118
PHL,119
POL,120
PRI,121
PRT,122
PRY,123
PSE,124
QAT,125
ROU,126
RUS,127
RWA,128
SAU,129
SDN,130
SEN,131
SGP,132
SLB,133
SLE,134
SLV,135
SRB,136
SVK,137
SVN,138
SWE,139
SWZ,140
SYC,141
TCD,142
TGO,143
THA,144
TLS,145
TON,146
TUN,147
TUR,148
TZA,149
UGA,150
UKR,151
URY,152
USA,153
UZB,154
VNM,155
VUT,156
WSM,157
XKX,158
ZAF,159
ZMB,160
ZWE,161
